Entry	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes
P72880	slr0977			Transport permease protein			ATP-binding cassette (ABC) transporter complex [GO:0043190]; lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]		lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU361157}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361157}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					276				unreviewed	Inferred from homology	UP000001425: Chromosome
Q6ZET6	sll5044			Uncharacterized protein												213				unreviewed	Predicted	UP000001425: Plasmid pSYSM
Q55114	sll0413			Sll0413 protein												207				unreviewed	Predicted	UP000001425: Chromosome
Q55950	sll0783			Sll0783 protein												160				unreviewed	Predicted	UP000001425: Chromosome
Q55137	sll0069			Sll0069 protein												256				unreviewed	Predicted	UP000001425: Chromosome
Q6ZE57	sll8035			Sll8035 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						167				unreviewed	Predicted	UP000001425: Plasmid pSYSG
P72992	ssr2699			Transposase			DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	transposition, DNA-mediated [GO:0006313]							82				unreviewed	Predicted	UP000001425: Chromosome
P73516	slr1444			Slr1444 protein												333				unreviewed	Predicted	UP000001425: Chromosome
P74685	sll0443			Sll0443 protein			membrane [GO:0016020]			membrane [GO:0016020]						469				unreviewed	Predicted	UP000001425: Chromosome
P73733	sll1618			Sll1618 protein												200				unreviewed	Predicted	UP000001425: Chromosome
Q55392	slr0565			Slr0565 protein			integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]	oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]		integral component of membrane [GO:0016021]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					325				unreviewed	Inferred from homology	UP000001425: Chromosome
Q55773	sll0183			Sll0183 protein												259				unreviewed	Predicted	UP000001425: Chromosome
Q55517	sll0529			Sll0529 protein			aldehyde-lyase activity [GO:0016832]; carbohydrate metabolic process [GO:0005975]	aldehyde-lyase activity [GO:0016832]	carbohydrate metabolic process [GO:0005975]							731				unreviewed	Predicted	UP000001425: Chromosome
Q6YRW1	slr6043			Slr6043 protein			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]; xenobiotic transmembrane transporter activity [GO:0042910]	cation transmembrane transporter activity [GO:0008324]; xenobiotic transmembrane transporter activity [GO:0042910]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					1046				unreviewed	Inferred from homology	UP000001425: Plasmid pSYSX
Q55873	slr0103			Slr0103 protein												335				unreviewed	Predicted	UP000001425: Chromosome
P73927	slr2099			Hybrid sensory kinase			integral component of plasma membrane [GO:0005887]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]	histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]	protein autophosphorylation [GO:0046777]	integral component of plasma membrane [GO:0005887]						366				unreviewed	Predicted	UP000001425: Chromosome
P72932		hliA		High light inducible protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						57				unreviewed	Predicted	UP000001425: Chromosome
Q6ZEF0	ssl7048			Ssl7048 protein			DNA binding [GO:0003677]	DNA binding [GO:0003677]								73				unreviewed	Predicted	UP000001425: Plasmid pSYSA
Q55420		rfbB		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)		CATALYTIC ACTIVITY: Reaction=dTDP-alpha-D-glucose = dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O; Xref=Rhea:RHEA:17221, ChEBI:CHEBI:15377, ChEBI:CHEBI:57477, ChEBI:CHEBI:57649; EC=4.2.1.46; Evidence={ECO:0000256|ARBA:ARBA00001539, ECO:0000256|RuleBase:RU004473};	dTDP-glucose 4,6-dehydratase activity [GO:0008460]; nucleotide-sugar metabolic process [GO:0009225]	dTDP-glucose 4,6-dehydratase activity [GO:0008460]	nucleotide-sugar metabolic process [GO:0009225]				COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU004473}; 		4.2.1.46	342				unreviewed	Inferred from homology	UP000001425: Chromosome
Q55817	sll0488			Sll0488 protein												203				unreviewed	Predicted	UP000001425: Chromosome
P74321	sll0910			Sll0910 protein												363				unreviewed	Predicted	UP000001425: Chromosome
Q6ZEB8	slr7080			Uncharacterized protein												310				unreviewed	Predicted	UP000001425: Plasmid pSYSA
P74017		fabF		Beta ketoacyl-acyl carrier protein synthase			cytosol [GO:0005829]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]	fatty acid biosynthetic process [GO:0006633]	cytosol [GO:0005829]						404				unreviewed	Inferred from homology	UP000001425: Chromosome
P74115	sll1888			Sensory transduction histidine kinase			phosphorelay sensor kinase activity [GO:0000155]	phosphorelay sensor kinase activity [GO:0000155]								432				unreviewed	Predicted	UP000001425: Chromosome
P73974		kpsM		Polysialic acid transport protein KpsM			integral component of membrane [GO:0016021]; lipopolysaccharide transport [GO:0015920]		lipopolysaccharide transport [GO:0015920]	integral component of membrane [GO:0016021]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					302				unreviewed	Predicted	UP000001425: Chromosome
P72599		fhuA		Ferrichrome-iron receptor			cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]		cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU003357}.					863				unreviewed	Inferred from homology	UP000001425: Chromosome
P73365	slr1214			PatA subfamily			phosphorelay signal transduction system [GO:0000160]		phosphorelay signal transduction system [GO:0000160]							372				unreviewed	Predicted	UP000001425: Chromosome
P74482	slr1930			Slr1930 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						186				unreviewed	Predicted	UP000001425: Chromosome
P73431		rpoE		RNA polymerase sigma-E factor			DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; response to stimulus [GO:0050896]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	DNA-templated transcription, initiation [GO:0006352]; response to stimulus [GO:0050896]							223				unreviewed	Inferred from homology	UP000001425: Chromosome
P73818	sll1950			Sll1950 protein												244				unreviewed	Predicted	UP000001425: Chromosome
Q6YS00	slr6004			Slr6004 protein												118				unreviewed	Predicted	UP000001425: Plasmid pSYSX
P74773	sgl0001			Sgl0001 protein												39				unreviewed	Predicted	UP000001425: Chromosome
P73339	sll1121			DNA helicase (EC 3.6.4.12)		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12; Evidence={ECO:0000256|ARBA:ARBA00001665};	cytosol [GO:0005829]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; recombinational repair [GO:0000725]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	recombinational repair [GO:0000725]	cytosol [GO:0005829]					3.6.4.12	770				unreviewed	Predicted	UP000001425: Chromosome
Q55490	slr0544			ABC transporter			plasma membrane [GO:0005886]; ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]	transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]						266				unreviewed	Predicted	UP000001425: Chromosome
P73568	sll0871			Sll0871 protein												142				unreviewed	Predicted	UP000001425: Chromosome
P73661	slr1888			Slr1888 protein			acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; N-acetyltransferase activity [GO:0008080]; acetate metabolic process [GO:0006083]; propionate metabolic process, methylcitrate cycle [GO:0019679]	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; N-acetyltransferase activity [GO:0008080]	acetate metabolic process [GO:0006083]; propionate metabolic process, methylcitrate cycle [GO:0019679]							630				unreviewed	Inferred from homology	UP000001425: Chromosome
Q6ZEP0	sll5090			Uncharacterized protein												184				unreviewed	Predicted	UP000001425: Plasmid pSYSM
P74175		hlyD		HlyD family of secretion proteins			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						583				unreviewed	Predicted	UP000001425: Chromosome
Q55968	sll0671	corA		Magnesium transport protein CorA	FUNCTION: Mediates influx of magnesium ions. {ECO:0000256|RuleBase:RU362010}.		integral component of plasma membrane [GO:0005887]; cobalt ion binding [GO:0050897]; cobalt ion transmembrane transporter activity [GO:0015087]; magnesium ion binding [GO:0000287]; magnesium ion transmembrane transporter activity [GO:0015095]	cobalt ion binding [GO:0050897]; cobalt ion transmembrane transporter activity [GO:0015087]; magnesium ion binding [GO:0000287]; magnesium ion transmembrane transporter activity [GO:0015095]		integral component of plasma membrane [GO:0005887]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU362010}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU362010}.					380				unreviewed	Inferred from homology	UP000001425: Chromosome
P74634	sll0732			Sll0732 protein			membrane [GO:0016020]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]		membrane [GO:0016020]						191				unreviewed	Predicted	UP000001425: Chromosome
Q55405	slr0579			Slr0579 protein												117				unreviewed	Predicted	UP000001425: Chromosome
P74699	slr0460			Transposase												157				unreviewed	Predicted	UP000001425: Chromosome
Q55722	slr0643			Slr0643 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947}; 			493				unreviewed	Inferred from homology	UP000001425: Chromosome
P73531	slr1357			Transposase			nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]								282				unreviewed	Predicted	UP000001425: Chromosome
Q55712	slr0635			Slr0635 protein			iron-sulfur cluster assembly [GO:0016226]		iron-sulfur cluster assembly [GO:0016226]							312				unreviewed	Predicted	UP000001425: Chromosome
Q55540	ssl0564			Response regulator like protein			DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	regulation of transcription, DNA-templated [GO:0006355]							89				unreviewed	Predicted	UP000001425: Chromosome
P73635	slr1876			Slr1876 protein			endopeptidase activity [GO:0004175]; enzyme activator activity [GO:0008047]; cellular protein modification process [GO:0006464]; protein processing [GO:0016485]	endopeptidase activity [GO:0004175]; enzyme activator activity [GO:0008047]	cellular protein modification process [GO:0006464]; protein processing [GO:0016485]							157				unreviewed	Inferred from homology	UP000001425: Chromosome
P74188	slr1276			Slr1276 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						275				unreviewed	Predicted	UP000001425: Chromosome
P74428	slr0398			Slr0398 protein												161				unreviewed	Predicted	UP000001425: Chromosome
Q59995	slr0214			Cytosine-specific methyltransferase (EC 2.1.1.37)		CATALYTIC ACTIVITY: Reaction=a 2'-deoxycytidine in DNA + S-adenosyl-L-methionine = a 5-methyl-2'-deoxycytidine in DNA + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:13681, Rhea:RHEA-COMP:11369, Rhea:RHEA-COMP:11370, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:85452, ChEBI:CHEBI:85454; EC=2.1.1.37; Evidence={ECO:0000256|ARBA:ARBA00000743, ECO:0000256|RuleBase:RU000417};	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]	DNA restriction-modification system [GO:0009307]						2.1.1.37	424				unreviewed	Inferred from homology	UP000001425: Chromosome
P72788	slr1788			Slr1788 protein												351				unreviewed	Predicted	UP000001425: Chromosome
P74077	sll1255			Transposase			DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	transposition, DNA-mediated [GO:0006313]							338				unreviewed	Predicted	UP000001425: Chromosome
P74479	slr1927			Slr1927 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						406				unreviewed	Predicted	UP000001425: Chromosome
P74541	sll1330			OmpR subfamily			cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]		cytosol [GO:0005829]; protein-DNA complex [GO:0032993]						250				unreviewed	Predicted	UP000001425: Chromosome
P75023		ctpB		Carboxyl-terminal protease			outer membrane-bounded periplasmic space [GO:0030288]; endopeptidase activity [GO:0004175]; serine-type peptidase activity [GO:0008236]; signal transduction [GO:0007165]	endopeptidase activity [GO:0004175]; serine-type peptidase activity [GO:0008236]	signal transduction [GO:0007165]	outer membrane-bounded periplasmic space [GO:0030288]						462				unreviewed	Inferred from homology	UP000001425: Chromosome
P72803		dnaJ		DnaJ protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						174				unreviewed	Predicted	UP000001425: Chromosome
Q6YRU3	ssl6061			Ssl6061 protein												68				unreviewed	Predicted	UP000001425: Plasmid pSYSX
Q6ZEQ5	sll5075			Sll5075 protein												139				unreviewed	Predicted	UP000001425: Plasmid pSYSM
P74623	sll1473			Sll1473 protein			protein-chromophore linkage [GO:0018298]; regulation of transcription, DNA-templated [GO:0006355]		protein-chromophore linkage [GO:0018298]; regulation of transcription, DNA-templated [GO:0006355]							481				unreviewed	Predicted	UP000001425: Chromosome
Q6ZEI2	slr7016	cas1		CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	FUNCTION: CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette. {ECO:0000256|HAMAP-Rule:MF_01470}.		DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]; metal ion binding [GO:0046872]; defense response to virus [GO:0051607]; maintenance of CRISPR repeat elements [GO:0043571]	DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]; metal ion binding [GO:0046872]	defense response to virus [GO:0051607]; maintenance of CRISPR repeat elements [GO:0043571]				COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_01470}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|HAMAP-Rule:MF_01470}; 	SUBUNIT: Homodimer, forms a heterotetramer with a Cas2 homodimer. {ECO:0000256|HAMAP-Rule:MF_01470}.	3.1.-.-	325				unreviewed	Evidence at protein level	UP000001425: Plasmid pSYSA
P73400	sll1725			ABC transporter			integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; transmembrane transport [GO:0055085]	ABC-type transporter activity [GO:0140359]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]						610				unreviewed	Predicted	UP000001425: Chromosome
Q57456	slr0351			Slr0351 protein			protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]	protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.					416				unreviewed	Predicted	UP000001425: Chromosome
Q6ZEP7	sll5083			AAA domain-containing protein			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]								625				unreviewed	Predicted	UP000001425: Plasmid pSYSM
Q55559	sll0169			Sll0169 protein			integral component of membrane [GO:0016021]; septin ring assembly [GO:0000921]		septin ring assembly [GO:0000921]	integral component of membrane [GO:0016021]						714				unreviewed	Evidence at protein level	UP000001425: Chromosome
P74025	sll1220			Potential NAD-reducing hydrogenase subunit			2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]					COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000256|PIRSR:PIRSR000216-1};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000256|PIRSR:PIRSR000216-1};			173				unreviewed	Inferred from homology	UP000001425: Chromosome
P74489	sll1858			Sll1858 protein												627				unreviewed	Predicted	UP000001425: Chromosome
P73904	ssr3532			Ssr3532 protein												80				unreviewed	Predicted	UP000001425: Chromosome
P73909	slr2084			Slr2084 protein												221				unreviewed	Predicted	UP000001425: Chromosome
P73582	sll0864			Sll0864 protein			isopeptidase activity [GO:0070122]; metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]	isopeptidase activity [GO:0070122]; metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]								157				unreviewed	Predicted	UP000001425: Chromosome
P73076	sll1942			Sll1942 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						254				unreviewed	Predicted	UP000001425: Chromosome
Q6ZEU3	slr5037			Slr5037 protein												127				unreviewed	Predicted	UP000001425: Plasmid pSYSM
Q55454	sll0034			Sll0034 protein			integral component of membrane [GO:0016021]; peptidase activity [GO:0008233]	peptidase activity [GO:0008233]		integral component of membrane [GO:0016021]						258				unreviewed	Predicted	UP000001425: Chromosome
P74320	sll0911			Sll0911 protein												128				unreviewed	Predicted	UP000001425: Chromosome
P74096	sll1898			Sll1898 protein			integral component of membrane [GO:0016021]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; heme A biosynthetic process [GO:0006784]	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]	heme A biosynthetic process [GO:0006784]	integral component of membrane [GO:0016021]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					332				unreviewed	Predicted	UP000001425: Chromosome
Q55588	slr0373			Slr0373 protein			regulation of transcription, DNA-templated [GO:0006355]		regulation of transcription, DNA-templated [GO:0006355]							126				unreviewed	Predicted	UP000001425: Chromosome
P74029		ycf39		Ycf39 protein												219				unreviewed	Predicted	UP000001425: Chromosome
P73854		lacG		Lactose transport system permease protein LacG			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]		transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.					270				unreviewed	Inferred from homology	UP000001425: Chromosome
P74223		glnH		Glutamine-binding protein			outer membrane-bounded periplasmic space [GO:0030288]			outer membrane-bounded periplasmic space [GO:0030288]						296				unreviewed	Predicted	UP000001425: Chromosome
P74318		livH		High-affinity branched-chain amino acid transport permease protein			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; transmembrane transporter activity [GO:0022857]; D-alanine transport [GO:0042941]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine transmembrane transport [GO:1903785]; leucine import across plasma membrane [GO:0098713]; phenylalanine transport [GO:0015823]; transmembrane transport [GO:0055085]	L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; transmembrane transporter activity [GO:0022857]	D-alanine transport [GO:0042941]; L-alanine transport [GO:0015808]; leucine import across plasma membrane [GO:0098713]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine transmembrane transport [GO:1903785]; phenylalanine transport [GO:0015823]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					286				unreviewed	Predicted	UP000001425: Chromosome
Q55708	slr0630			Slr0630 protein												219				unreviewed	Predicted	UP000001425: Chromosome
P74407	slr0285			Slr0285 protein			4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]								225				unreviewed	Predicted	UP000001425: Chromosome
P72638	ssl2069			Ssl2069 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						83				unreviewed	Predicted	UP000001425: Chromosome
P72791	sll1672			Hybrid sensory kinase			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]	phosphorelay sensor kinase activity [GO:0000155]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.					834				unreviewed	Predicted	UP000001425: Chromosome
P73681	slr2144			Slr2144 protein			outer membrane-bounded periplasmic space [GO:0030288]			outer membrane-bounded periplasmic space [GO:0030288]						301				unreviewed	Predicted	UP000001425: Chromosome
P72601	sll1407			Sll1407 protein			methyltransferase activity [GO:0008168]	methyltransferase activity [GO:0008168]								265				unreviewed	Predicted	UP000001425: Chromosome
P73180	slr1391			Slr1391 protein												156				unreviewed	Predicted	UP000001425: Chromosome
P74351	sll1532			Sll1532 protein			outer membrane-bounded periplasmic space [GO:0030288]			outer membrane-bounded periplasmic space [GO:0030288]						211				unreviewed	Predicted	UP000001425: Chromosome
P73611	slr1861			Slr1861 protein												143				unreviewed	Predicted	UP000001425: Chromosome
P73575	slr0887			Slr0887 protein			cytosol [GO:0005829]; catalytic activity [GO:0003824]; carboxylic acid metabolic process [GO:0019752]	catalytic activity [GO:0003824]	carboxylic acid metabolic process [GO:0019752]	cytosol [GO:0005829]						269				unreviewed	Predicted	UP000001425: Chromosome
P72915		galE		UDP-glucose-4-epimerase												105				unreviewed	Predicted	UP000001425: Chromosome
P72903		galE		UDP-glucose 4-epimerase (EC 5.1.3.2)		CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2; Evidence={ECO:0000256|ARBA:ARBA00000083, ECO:0000256|RuleBase:RU366046};	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	galactose metabolic process [GO:0006012]			PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947, ECO:0000256|RuleBase:RU366046}.	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU366046}; 	SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU366046}.	5.1.3.2	340				unreviewed	Inferred from homology	UP000001425: Chromosome
Q6ZEG7	sll7031			Sll7031 protein			regulation of transcription, DNA-templated [GO:0006355]		regulation of transcription, DNA-templated [GO:0006355]							100				unreviewed	Predicted	UP000001425: Plasmid pSYSA
Q6ZEN4	ssl5096			Recombinase domain-containing protein			DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]								69				unreviewed	Predicted	UP000001425: Plasmid pSYSM
P74389		dnaX and dnaZ		DNA polymerase III subunit			DNA-dependent DNA replication [GO:0006261]		DNA-dependent DNA replication [GO:0006261]							319				unreviewed	Predicted	UP000001425: Chromosome
P73169	ssr2318			Ssr2318 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						87				unreviewed	Predicted	UP000001425: Chromosome
P72727	slr1413			Slr1413 protein			integral component of membrane [GO:0016021]; GTP binding [GO:0005525]	GTP binding [GO:0005525]		integral component of membrane [GO:0016021]						481				unreviewed	Predicted	UP000001425: Chromosome
P72865	sll0933			Sll0933 protein			integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]						158				unreviewed	Predicted	UP000001425: Chromosome
P72806	sll1664			Sll1664 protein												312				unreviewed	Predicted	UP000001425: Chromosome
P74111	slr1969			Hybrid sensory kinase			cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]; protein-chromophore linkage [GO:0018298]; regulation of intracellular signal transduction [GO:1902531]	ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]	protein autophosphorylation [GO:0046777]; protein-chromophore linkage [GO:0018298]; regulation of intracellular signal transduction [GO:1902531]	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]						750				unreviewed	Predicted	UP000001425: Chromosome
